DISTRITO,CONCELHO,NOME CONCELHO,14 DIAS,POPULAÇÃO PORDATA
13,11,Penafiel,416.62,69847
18,11,Penalva do Castelo,0.00,7145
05,07,Penamacor,166.91,4793
18,12,Penedono,0.00,2601
06,14,Penela,18.46,5418
10,14,Peniche,41.52,26494
17,08,Peso da Régua,215.16,15802
09,10,Pinhel,338.82,8559
10,15,Pombal,23.27,51573
16,06,Ponte da Barca,8.93,11195
16,07,Ponte de Lima,79.70,41407
12,13,Ponte de Sor,46.53,15043
12,14,Portalegre,40.42,22266
07,09,Portel,0.00,5849
08,11,Portimão,138.86,55450
13,12,Porto,550.14,215945
10,16,Porto de Mós,60.13,23282
03,09,Póvoa de Lanhoso,158.34,21473
13,13,Póvoa de Varzim,194.74,62647
05,08,Proença-a-Nova,27.23,7344
07,10,Redondo,156.99,6370
07,11,Reguengos de Monsaraz,89.77,10026
18,13,Resende,196.29,10189
17,09,Ribeira de Pena,315.41,6024
14,14,Rio Maior,73.67,20360
17,10,Sabrosa,67.59,5918
09,11,Sabugal,93.75,10667
14,15,Salvaterra de Magos,51.69,21282
18,14,Santa Comba Dão,124.06,10479
01,09,Santa Maria da Feira,181.84,138581
17,11,Santa Marta de Penaguião,45.29,6624
14,16,Santarém,118.45,57410
15,09,Santiago do Cacém,45.20,28758
13,14,Santo Tirso,397.72,68138
08,12,São Brás de Alportel,144.01,10416
01,16,São João da Madeira,224.15,21860
18,15,São João da Pesqueira,84.03,7140
18,16,São Pedro do Sul,38.85,15446
14,17,Sardoal,53.48,3740
18,17,Sátão,60.39,11591
09,12,Seia,17.92,22323
15,10,Seixal,194.87,167294
18,18,Sernancelhe,92.76,5390
02,13,Serpa,90.66,14339
05,09,Sertã,13.67,14630
15,11,Sesimbra,143.11,51709
15,12,Setúbal,155.92,115442
01,17,Sever do Vouga,158.35,11367
08,13,Silves,52.49,36200
15,13,Sines,160.90,13673
11,11,Sintra,344.69,389918
11,12,Sobral de Monte Agraço,94.60,10571
06,15,Soure,46.51,17199
12,15,Sousel,45.12,4433
06,16,Tábua,43.91,11386
18,19,Tabuaço,282.16,6025
18,20,Tarouca,38.55,7783
08,14,Tavira,162.34,24640
03,10,Terras de Bouro,78.33,6383
14,18,Tomar,97.76,36825
18,21,Tondela,56.70,26453
04,09,Torre de Moncorvo,12.98,7706
14,19,Torres Novas,151.64,34952
11,13,Torres Vedras,81.66,78375
09,13,Trancoso,134.67,8911
13,18,Trofa,211.11,38368
01,18,Vagos,127.68,22713
01,19,Vale de Cambra,131.07,21363
16,08,Valença,67.74,13287
13,15,Valongo,377.29,97007
17,12,Valpaços,134.45,14875
07,12,Vendas Novas,53.30,11257
